score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2562046,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2689 0 @ 2.60GHz,Radeon RX 580 Series,3911,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562046
2562025,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,AMD Radeon RX 580 2048SP,3550,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2562025
2561974,FurMark (GL),,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,AMD Radeon RX 580 2048SP,3737,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2561974
2561963,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz,Radeon RX 580 Series,1257,24,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2561963
2561948,FurMark (GL),,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,Radeon RX 580 Series,4285,71,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2561948
2561890,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,Radeon RX 580 Series,4013,66,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2561890
2561846,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,AMD Radeon RX 580 2048SP,3475,57,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2561846
2561778,FurMark (GL),,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,AMD Radeon RX 580 2048SP,3392,56,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561778
2561703,FurMark (GL),,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,AMD Radeon RX 580 2048SP,3262,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561703
2561663,FurMark (GL),,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,AMD Radeon RX 580 2048SP,3334,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561663
2561646,FurMark (GL),,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,Radeon RX 580 Series,3936,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561646
2561503,FurMark (GL),,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,3323,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561503
2561314,FurMark (GL),,AMD Ryzen 5 5600G with Radeon Graphics,Radeon RX 580 Series,4100,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2561314
2561285,FurMark (GL),,,Radeon RX 580 Series,3705,61,1920x1080,60000,Windows 11,,https://gpumagick.com/scores/2561285
2561209,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3771,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2561209
2561137,FurMark (GL),,AMD Ryzen 5 5600 6-Core Processor,AMD Radeon RX 580 Series (radeonsi polaris10 ACO DRM 3.64 6.16.8kali-amd64),2447,40,2560x1440,60000,Linux 6.16.8kali-amd64 64-bit,,https://gpumagick.com/scores/2561137
2561010,FurMark (GL),,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 580 2048SP,2990,49,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561010
2561001,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,Radeon RX 580 Series,3853,64,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2561001
2560921,FurMark (GL),,AMD Ryzen 5 1600X Six-Core Processor,AMD Radeon RX 580 2048SP,3356,55,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560921
2560870,FurMark (GL),,AMD A10-5800K APU with Radeon(tm) HD Graphics,Radeon RX 580 Series,2562,42,2560x1440,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560870
2560858,FurMark (GL),,AMD Ryzen 5 3500X 6-Core Processor,AMD Radeon RX 580 2048SP,3365,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560858
