score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2591733,FurMark (GL),,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,Radeon RX 580 Series,3924,65,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2591733
2591698,FurMark (GL),,AMD Ryzen 5 3400G with Radeon Vega Graphics,Radeon RX 580 Series,4247,70,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2591698
2591678,FurMark (GL),,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,3230,53,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2591678
2591453,FurMark (GL),,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,Radeon RX 580 Series,3431,57,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2591453
2591328,FurMark (GL),,AMD Ryzen 7 2700X Eight-Core Processor,Radeon RX 580 Series,2660,44,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2591328
2591313,FurMark (GL),,AMD Ryzen 7 2700X Eight-Core Processor,Radeon RX 580 Series,2659,44,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2591313
2591258,FurMark (GL),,AMD Ryzen 3 3200G with Radeon Vega Graphics,AMD Radeon RX 580 2048SP,3551,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2591258
2591163,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,Radeon RX 580 Series,3865,64,1920x1080,60000,Windows 10 build 10586,,https://gpumagick.com/scores/2591163
2590818,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1240 v3 @ 3.40GHz,Radeon RX 580 Series,3793,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2590818
2590608,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3907,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2590608
2590573,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3869,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2590573
2590563,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3871,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2590563
2590398,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,AMD Radeon RX 580 2048SP,3856,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2590398
2590368,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1281 v3 @ 3.70GHz,Radeon RX 580 Series,3707,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2590368
2590098,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,AMD Radeon RX 580 2048SP,2908,48,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2590098
2589678,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,Radeon RX 580 Series,4135,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2589678
2589638,FurMark (GL),,Intel(R) Core(TM) i5 CPU         760  @ 2.80GHz,Radeon RX 580 Series,455,7,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2589638
